,Ship Mode,Segment,City,Country,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
62,Same Day,Home Office,Lahore,Pakistan,Technology,Phones,entre 11 y 12,0.5,Medium,September,304.27434782608697
63,Standard Class,Consumer,Sydney,Australia,Furniture,Tables,entre 5 y 6,0.3,Medium,January,544.1863636363637
64,Standard Class,Consumer,Adelaide,Australia,Technology,Copiers,entre 5 y 6,0.1,Low,May,309.64090909090913
65,Second Class,Home Office,Ho Chi Minh City,Vietnam,Furniture,Chairs,entre 5 y 6,0.27,High,March,305.5647272727273
66,First Class,Consumer,London,United Kingdom,Technology,Machines,entre 3 y 4,0.1,Critical,June,267.192
67,Second Class,Consumer,Vienna,Austria,Office Supplies,Storage,entre 7 y 8,0.0,Critical,October,136.928
68,Second Class,Corporate,Bangkok,Thailand,Technology,Phones,entre 5 y 6,0.17,Medium,December,485.00672727272723
69,First Class,Consumer,London,United Kingdom,Technology,Machines,entre 3 y 4,0.1,Critical,July,273.24
70,First Class,Consumer,Managua,Nicaragua,Furniture,Bookcases,entre 7 y 8,0.0,High,June,312.53333333333336
71,Standard Class,Consumer,Managua,Nicaragua,Furniture,Tables,entre 5 y 6,0.2,Low,January,508.59054545454546
72,Second Class,Consumer,Mixco,Guatemala,Furniture,Bookcases,entre 7 y 8,0.0,High,March,242.032
73,Second Class,Consumer,Mexico City,Mexico,Technology,Phones,entre 7 y 8,0.0,High,June,406.112
74,Standard Class,Home Office,Managua,Nicaragua,Technology,Phones,entre 5 y 6,0.0,Low,October,386.3636363636364
75,Standard Class,Corporate,Berlin,Germany,Technology,Copiers,entre 13 y14,0.1,Medium,April,351.736
76,First Class,Consumer,Manila,Philippines,Furniture,Bookcases,entre 7 y 8,0.35,Medium,September,287.06080000000003
77,Second Class,Consumer,Melbourne,Australia,Furniture,Bookcases,entre 3 y 4,0.1,High,September,453.26057142857144
78,First Class,Corporate,Jakarta,Indonesia,Furniture,Bookcases,entre 1 y 2,0.07,Critical,August,451.75680000000006
79,Second Class,Consumer,Rome,Italy,Office Supplies,Appliances,entre 5 y 6,0.0,Critical,November,337.5163636363636
80,First Class,Consumer,Santiago de Cuba,Cuba,Furniture,Tables,entre 5 y 6,0.0,High,October,269.6363636363636
81,Standard Class,Consumer,Bangkok,Thailand,Technology,Phones,entre 7 y 8,0.17,Medium,June,495.012
82,Standard Class,Home Office,Gold Coast,Australia,Technology,Phones,entre 5 y 6,0.1,High,December,522.7445454545455
83,Same Day,Consumer,Bangkok,Thailand,Office Supplies,Appliances,entre 3 y 4,0.17,High,November,513.9075428571429
84,Standard Class,Home Office,Melbourne,Australia,Furniture,Bookcases,entre 7 y 8,0.1,Medium,October,351.27360000000004
85,Second Class,Consumer,Brisbane,Australia,Technology,Accessories,entre 9 y 10,0.1,Medium,February,218.39305263157894
86,First Class,Home Office,Sydney,Australia,Furniture,Bookcases,entre 3 y 4,0.1,Medium,March,336.33514285714284
87,Second Class,Corporate,Lahore,Pakistan,Technology,Phones,entre 9 y 10,0.5,Medium,August,301.37684210526317
88,Standard Class,Consumer,Lahore,Pakistan,Furniture,Chairs,entre 7 y 8,0.2,Medium,August,344.53439999999995
89,Same Day,Consumer,Manila,Philippines,Technology,Copiers,entre 5 y 6,0.35,High,September,269.5254545454546
90,Standard Class,Corporate,Sydney,Australia,Technology,Copiers,entre 7 y 8,0.1,High,June,305.79839999999996
91,Same Day,Corporate,Mexico City,Mexico,Furniture,Tables,entre 3 y 4,0.2,Critical,October,207.6342857142857
92,First Class,Corporate,Casablanca,Morocco,Office Supplies,Appliances,entre 3 y 4,0.0,Critical,February,352.7314285714286
93,Standard Class,Corporate,Brisbane,Australia,Furniture,Tables,entre 7 y 8,0.3,Low,August,306.8184
94,Same Day,Corporate,Vienna,Austria,Furniture,Bookcases,entre 3 y 4,0.0,Critical,July,314.4342857142857
95,Same Day,Consumer,Vienna,Austria,Furniture,Tables,entre 1 y 2,0.0,Critical,September,615.3000000000001
96,First Class,Consumer,Managua,Nicaragua,Furniture,Bookcases,entre 5 y 6,0.0,Critical,September,120.8290909090909
97,First Class,Home Office,Ho Chi Minh City,Vietnam,Office Supplies,Appliances,entre 5 y 6,0.17,Medium,November,398.3547272727273
98,Standard Class,Consumer,Mexico City,Mexico,Office Supplies,Appliances,entre 9 y 10,0.0,Medium,May,341.35578947368424
99,Standard Class,Consumer,Casablanca,Morocco,Technology,Phones,entre 3 y 4,0.0,High,August,727.0285714285714
100,Second Class,Consumer,Madrid,Spain,Office Supplies,Storage,entre 11 y 12,0.1,High,January,110.56147826086958
101,Second Class,Consumer,Singapore,Singapore,Furniture,Bookcases,entre 5 y 6,0.0,High,November,372.92727272727274
102,Second Class,Consumer,San Salvador,El Salvador,Technology,Phones,entre 5 y 6,0.0,High,May,462.5890909090909
103,First Class,Corporate,São Paulo,Brazil,Furniture,Tables,entre 1 y 2,0.2,Medium,July,653.5466666666667
104,Standard Class,Consumer,Santo Domingo,Dominican Republic,Technology,Phones,entre 7 y 8,0.2,Low,June,316.7061333333333
105,Standard Class,Consumer,Perth,Australia,Technology,Copiers,entre 5 y 6,0.1,High,October,293.24454545454546
106,Same Day,Home Office,Yangon,Myanmar (Burma),Office Supplies,Appliances,entre 5 y 6,0.17,Critical,August,281.65974545454543
107,Standard Class,Corporate,Mexico City,Mexico,Technology,Phones,entre 3 y 4,0.0,High,June,484.6857142857143
108,First Class,Corporate,Mexico City,Mexico,Office Supplies,Appliances,entre 5 y 6,0.0,Medium,May,170.0909090909091
109,First Class,Corporate,Casablanca,Morocco,Technology,Phones,entre 7 y 8,0.0,Critical,February,194.304
110,Standard Class,Home Office,Manila,Philippines,Office Supplies,Appliances,entre 7 y 8,0.15,Low,January,451.58119999999997
111,Second Class,Consumer,Kinshasa,Democratic Republic of the Congo,Technology,Machines,entre 3 y 4,0.0,Critical,August,290.9485714285714
112,Standard Class,Consumer,Jakarta,Indonesia,Technology,Copiers,entre 7 y 8,0.07,High,February,237.4848
113,Standard Class,Consumer,Perth,Australia,Office Supplies,Appliances,entre 3 y 4,0.1,High,April,541.296
114,Second Class,Corporate,São Paulo,Brazil,Technology,Copiers,entre 5 y 6,0.002,High,December,229.90290909090908
115,Standard Class,Corporate,Mexico City,Mexico,Technology,Phones,entre 7 y 8,0.0,High,October,406.112
116,First Class,Home Office,Canberra,Australia,Technology,Phones,entre 1 y 2,0.4,High,October,511.248
117,Second Class,Consumer,Casablanca,Morocco,Furniture,Tables,entre 5 y 6,0.0,Medium,December,523.6690909090909
118,Same Day,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Appliances,entre 5 y 6,0.2,High,August,330.7461818181818
119,Standard Class,Consumer,Villa Nueva,Guatemala,Technology,Phones,entre 5 y 6,0.0,Medium,January,385.6
120,Standard Class,Consumer,Gold Coast,Australia,Technology,Copiers,entre 5 y 6,0.1,High,June,312.3949090909091
121,First Class,Corporate,Jakarta,Indonesia,Furniture,Bookcases,entre 3 y 4,0.07,High,December,311.79445714285714
122,Second Class,Home Office,Managua,Nicaragua,Technology,Copiers,entre 7 y 8,0.002,Medium,September,268.58176
123,Second Class,Consumer,Kinshasa,Democratic Republic of the Congo,Furniture,Tables,entre 7 y 8,0.0,Medium,February,517.024
124,First Class,Corporate,Perth,Australia,Technology,Phones,entre 5 y 6,0.1,Medium,November,520.6090909090909
125,First Class,Consumer,León,Nicaragua,Technology,Copiers,entre 5 y 6,0.002,High,December,217.87247272727274
126,Second Class,Corporate,Istanbul,Turkey,Furniture,Chairs,entre 5 y 6,0.6,Critical,September,207.7527272727273
127,Standard Class,Consumer,Alexandria,Egypt,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,August,641.1085714285715
128,Second Class,Corporate,Sydney,Australia,Technology,Copiers,entre 5 y 6,0.1,Medium,June,290.27454545454543
129,First Class,Home Office,Gold Coast,Australia,Furniture,Chairs,entre 5 y 6,0.4,High,August,300.6916363636364
130,First Class,Home Office,Mixco,Guatemala,Technology,Copiers,entre 7 y 8,0.002,Medium,September,253.61442133333333
131,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Appliances,entre 5 y 6,0.17,Medium,March,372.91145454545455
132,Second Class,Consumer,Vienna,Austria,Technology,Copiers,entre 5 y 6,0.0,Critical,October,239.75454545454548
133,Same Day,Consumer,Madrid,Spain,Furniture,Bookcases,entre 5 y 6,0.0,High,June,450.1963636363636
134,Second Class,Home Office,Tegucigalpa,Honduras,Office Supplies,Appliances,entre 11 y 12,0.4,Medium,June,189.5864347826087
135,Second Class,Home Office,Villa Nueva,Guatemala,Technology,Phones,entre 11 y 12,0.0,Medium,April,128.64
136,Standard Class,Consumer,Riyadh,Saudi Arabia,Furniture,Tables,entre 7 y 8,0.0,Medium,June,341.856
137,Standard Class,Corporate,Lahore,Pakistan,Office Supplies,Appliances,entre 5 y 6,0.5,High,August,287.6563636363636
138,Standard Class,Consumer,Mixco,Guatemala,Technology,Phones,entre 5 y 6,0.0,Medium,September,475.8109090909091
139,Second Class,Consumer,London,United Kingdom,Furniture,Tables,entre 3 y 4,0.1,Critical,May,399.74657142857143
140,Second Class,Corporate,Villa Nueva,Guatemala,Technology,Copiers,entre 9 y 10,0.002,High,April,92.8455157894737
141,First Class,Corporate,Gold Coast,Australia,Furniture,Tables,entre 3 y 4,0.3,High,September,272.52000000000004
142,First Class,Consumer,Jakarta,Indonesia,Technology,Machines,entre 5 y 6,0.17,Critical,November,86.154
143,Same Day,Corporate,Madrid,Spain,Office Supplies,Appliances,entre 5 y 6,0.0,High,December,493.0363636363636
144,Second Class,Home Office,Bangkok,Thailand,Furniture,Tables,entre 9 y 10,0.57,High,December,195.25575789473683
145,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Appliances,entre 5 y 6,0.2,High,November,274.72
146,Standard Class,Home Office,Lahore,Pakistan,Office Supplies,Appliances,entre 13 y14,0.5,High,January,156.83111111111108
147,Second Class,Home Office,São Paulo,Brazil,Technology,Phones,entre 5 y 6,0.0,High,November,386.27272727272725
148,First Class,Consumer,Jakarta,Indonesia,Office Supplies,Storage,entre 5 y 6,0.17,High,December,191.61229090909092
149,Standard Class,Consumer,Mixco,Guatemala,Furniture,Bookcases,entre 7 y 8,0.0,Low,November,272.1226666666667
150,Second Class,Consumer,Paris,France,Office Supplies,Storage,entre 5 y 6,0.1,High,September,194.31163636363635
151,Second Class,Corporate,Baghdad,Iraq,Technology,Machines,entre 3 y 4,0.0,High,April,306.23999999999995
152,Second Class,Home Office,Brisbane,Australia,Office Supplies,Storage,entre 7 y 8,0.1,Critical,September,107.8308
153,Second Class,Consumer,León,Nicaragua,Furniture,Chairs,entre 7 y 8,0.0,Medium,December,323.92533333333336
154,Standard Class,Corporate,Melbourne,Australia,Technology,Machines,entre 9 y 10,0.1,High,January,148.56252631578948
155,First Class,Consumer,Gold Coast,Australia,Technology,Copiers,entre 3 y 4,0.1,High,May,277.8762857142857
156,Standard Class,Corporate,Brisbane,Australia,Technology,Copiers,entre 7 y 8,0.1,High,June,317.8476
157,Standard Class,Consumer,London,United Kingdom,Furniture,Bookcases,entre 5 y 6,0.1,High,December,360.54818181818183
158,Standard Class,Consumer,Paris,France,Office Supplies,Appliances,entre 5 y 6,0.1,High,October,273.3970909090909
159,Second Class,Consumer,London,United Kingdom,Technology,Machines,entre 5 y 6,0.1,High,September,304.9429090909091
160,First Class,Corporate,London,United Kingdom,Office Supplies,Appliances,entre 1 y 2,0.1,Critical,December,369.68399999999997
161,Standard Class,Consumer,San Salvador,El Salvador,Technology,Phones,entre 5 y 6,0.0,High,October,385.6
162,Standard Class,Corporate,Gold Coast,Australia,Furniture,Tables,entre 9 y 10,0.3,Medium,February,310.7358947368421
163,Second Class,Home Office,Ho Chi Minh City,Vietnam,Technology,Copiers,entre 7 y 8,0.37,High,August,154.82628000000003
164,First Class,Consumer,London,United Kingdom,Technology,Phones,entre 5 y 6,0.1,Critical,July,134.16545454545454
165,Standard Class,Corporate,Bangkok,Thailand,Technology,Phones,entre 3 y 4,0.17,Medium,December,453.42900000000003
166,First Class,Consumer,Mexico City,Mexico,Furniture,Tables,entre 3 y 4,0.2,High,October,259.6022857142857
167,Standard Class,Consumer,Gold Coast,Australia,Furniture,Chairs,entre 3 y 4,0.1,High,October,354.5717142857143
168,Standard Class,Consumer,Sydney,Australia,Office Supplies,Storage,entre 9 y 10,0.1,High,October,176.8016842105263
169,First Class,Consumer,Casablanca,Morocco,Furniture,Chairs,entre 3 y 4,0.0,Critical,February,194.77714285714288
170,First Class,Consumer,Kinshasa,Democratic Republic of the Congo,Technology,Phones,entre 7 y 8,0.0,Medium,November,131.36
171,Standard Class,Corporate,Santo Domingo,Dominican Republic,Furniture,Chairs,entre 5 y 6,0.2,High,March,220.46545454545455
172,First Class,Consumer,Jakarta,Indonesia,Technology,Machines,entre 3 y 4,0.17,High,October,252.55714285714288
173,First Class,Consumer,Berlin,Germany,Office Supplies,Appliances,entre 5 y 6,0.2,Critical,September,219.9709090909091
174,First Class,Consumer,Surabaya,Indonesia,Office Supplies,Storage,entre 3 y 4,0.17,Critical,November,134.3177142857143
175,Same Day,Consumer,Melbourne,Australia,Furniture,Bookcases,entre 7 y 8,0.1,Critical,May,124.6896
176,First Class,Home Office,Canberra,Australia,Furniture,Chairs,entre 9 y 10,0.4,High,October,100.28652631578947
177,Second Class,Corporate,Soyapango,El Salvador,Technology,Phones,entre 7 y 8,0.0,Medium,September,395.82666666666665
178,Standard Class,Consumer,Jakarta,Indonesia,Furniture,Tables,entre 5 y 6,0.47,Low,June,412.0268181818182
179,Standard Class,Consumer,Melbourne,Australia,Office Supplies,Appliances,entre 7 y 8,0.1,Medium,November,480.84479999999996
180,First Class,Consumer,Gold Coast,Australia,Technology,Machines,entre 5 y 6,0.4,Critical,November,202.41163636363635
181,Second Class,Consumer,Vienna,Austria,Technology,Copiers,entre 3 y 4,0.0,High,March,367.2685714285714
182,Standard Class,Consumer,Paris,France,Furniture,Bookcases,entre 5 y 6,0.1,High,September,358.48636363636365
183,Second Class,Consumer,Managua,Nicaragua,Technology,Copiers,entre 3 y 4,0.002,Critical,December,215.73908571428572
184,First Class,Corporate,Sydney,Australia,Furniture,Chairs,entre 5 y 6,0.1,High,August,136.39909090909092
185,First Class,Consumer,Alexandria,Egypt,Office Supplies,Storage,entre 5 y 6,0.0,High,December,214.88727272727274
186,First Class,Consumer,Rome,Italy,Technology,Copiers,entre 3 y 4,0.0,High,December,223.14857142857142
187,First Class,Consumer,Gold Coast,Australia,Technology,Phones,entre 1 y 2,0.4,Critical,November,514.1519999999999
188,First Class,Corporate,Melbourne,Australia,Furniture,Chairs,entre 3 y 4,0.1,High,October,354.5717142857143
189,Second Class,Consumer,Madrid,Spain,Office Supplies,Storage,entre 7 y 8,0.1,High,January,118.1628
190,Second Class,Consumer,Rome,Italy,Technology,Phones,entre 7 y 8,0.4,High,July,357.84000000000003
191,First Class,Corporate,Vienna,Austria,Office Supplies,Appliances,entre 7 y 8,0.0,Critical,July,286.32800000000003
192,First Class,Consumer,Brisbane,Australia,Technology,Copiers,entre 3 y 4,0.1,High,May,146.448
193,Same Day,Consumer,Kinshasa,Democratic Republic of the Congo,Furniture,Bookcases,entre 1 y 2,0.0,High,December,519.0
194,Standard Class,Consumer,Tegucigalpa,Honduras,Technology,Copiers,entre 7 y 8,0.402,Low,April,161.02306133333335
195,Standard Class,Corporate,Jakarta,Indonesia,Technology,Copiers,entre 7 y 8,0.07,High,July,256.31172
196,Standard Class,Consumer,Adelaide,Australia,Furniture,Chairs,entre 13 y14,0.1,Medium,August,426.664
197,Second Class,Home Office,San Salvador,El Salvador,Technology,Copiers,entre 7 y 8,0.002,High,December,163.67732266666664
198,Same Day,Corporate,Mexico City,Mexico,Technology,Copiers,entre 3 y 4,0.002,High,June,202.77078857142857
199,First Class,Consumer,Ho Chi Minh City,Vietnam,Furniture,Chairs,entre 7 y 8,0.27,Critical,November,104.09215999999999
200,Standard Class,Corporate,Santo Domingo,Dominican Republic,Office Supplies,Appliances,entre 7 y 8,0.2,Medium,June,246.9376
201,Second Class,Corporate,Sydney,Australia,Furniture,Chairs,entre 3 y 4,0.1,Critical,September,367.092
202,Standard Class,Consumer,Perth,Australia,Furniture,Tables,entre 5 y 6,0.3,Medium,March,338.0236363636364
203,Second Class,Consumer,London,United Kingdom,Furniture,Bookcases,entre 3 y 4,0.1,High,February,398.14971428571425
204,Standard Class,Consumer,Sydney,Australia,Furniture,Chairs,entre 3 y 4,0.1,Low,June,351.4011428571429
205,First Class,Consumer,Madrid,Spain,Technology,Phones,entre 3 y 4,0.1,High,July,490.8137142857143
206,Standard Class,Corporate,Bangkok,Thailand,Office Supplies,Appliances,entre 5 y 6,0.17,Medium,September,429.774
207,Second Class,Consumer,Mixco,Guatemala,Technology,Phones,entre 7 y 8,0.0,Medium,February,397.544
208,Second Class,Corporate,Managua,Nicaragua,Furniture,Bookcases,entre 5 y 6,0.0,High,May,265.76363636363635
209,Same Day,Corporate,Santiago de Cuba,Cuba,Office Supplies,Appliances,entre 3 y 4,0.0,High,November,295.69714285714286
210,Same Day,Consumer,Vienna,Austria,Office Supplies,Art,entre 7 y 8,0.0,Critical,September,58.624
211,Standard Class,Consumer,Jakarta,Indonesia,Technology,Phones,entre 3 y 4,0.17,Medium,June,454.6028571428571
212,Standard Class,Home Office,Singapore,Singapore,Technology,Phones,entre 7 y 8,0.0,High,May,162.04799999999997
213,Standard Class,Consumer,Mixco,Guatemala,Furniture,Chairs,entre 5 y 6,0.0,Medium,July,331.2872727272727
214,Standard Class,Home Office,London,United Kingdom,Furniture,Tables,entre 3 y 4,0.1,High,June,361.72285714285715
215,Standard Class,Consumer,Mexico City,Mexico,Technology,Copiers,entre 7 y 8,0.002,Medium,November,227.08625066666667
216,Standard Class,Corporate,Rome,Italy,Technology,Phones,entre 7 y 8,0.4,Medium,July,356.1936
217,First Class,Consumer,Sydney,Australia,Technology,Copiers,entre 5 y 6,0.1,High,November,137.6509090909091
218,Second Class,Corporate,Sydney,Australia,Technology,Phones,entre 13 y 14,0.1,High,May,144.716
219,First Class,Corporate,Singapore,Singapore,Furniture,Bookcases,entre 1 y 2,0.0,Critical,August,583.48
220,First Class,Consumer,Manila,Philippines,Technology,Phones,entre 3 y 4,0.25,High,August,558.4114285714286
221,First Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 1 y 2,0.25,Medium,February,476.09999999999997
222,Same Day,Home Office,Mixco,Guatemala,Technology,Phones,entre 3 y 4,0.0,Medium,November,363.59999999999997
223,Standard Class,Consumer,Mexico City,Mexico,Furniture,Bookcases,entre 9 y 10,0.2,Medium,November,222.65431578947369
224,Same Day,Consumer,Mixco,Guatemala,Technology,Accessories,entre 5 y 6,0.0,Medium,July,177.4690909090909
225,Same Day,Consumer,Casablanca,Morocco,Technology,Phones,entre 3 y 4,0.0,High,November,199.61142857142858
226,Second Class,Home Office,Manila,Philippines,Furniture,Chairs,entre 7 y 8,0.25,Medium,September,373.944
227,Second Class,Home Office,Singapore,Singapore,Office Supplies,Storage,entre 5 y 6,0.0,Critical,July,125.26363636363637
228,Second Class,Consumer,Soyapango,El Salvador,Furniture,Tables,entre 5 y 6,0.2,Medium,July,238.6618181818182
229,Same Day,Home Office,Stockholm,Sweden,Office Supplies,Appliances,entre 3 y 4,0.5,High,February,283.90285714285716
230,Standard Class,Corporate,Panama City,Panama,Furniture,Chairs,entre 5 y 6,0.4,High,December,206.66618181818183
231,Second Class,Corporate,Sydney,Australia,Technology,Copiers,entre 3 y 4,0.1,Critical,June,196.52914285714286
232,Standard Class,Consumer,Jakarta,Indonesia,Furniture,Tables,entre 5 y 6,0.47,Low,June,277.1283272727273
233,Standard Class,Home Office,Cairo,Egypt,Technology,Phones,entre 3 y 4,0.0,Medium,July,728.5714285714286
234,Second Class,Consumer,Jakarta,Indonesia,Furniture,Bookcases,entre 1 y 2,0.07,Critical,April,511.0164
235,Standard Class,Home Office,Stockholm,Sweden,Furniture,Bookcases,entre 13 y 14,0.5,Medium,February,209.66111111111113
236,Standard Class,Consumer,Sydney,Australia,Furniture,Chairs,entre 7 y 8,0.1,Medium,September,384.678
237,Second Class,Home Office,Lagos,Nigeria,Office Supplies,Appliances,entre 3 y 4,0.7,Critical,July,186.2022857142857
238,Standard Class,Home Office,Singapore,Singapore,Office Supplies,Storage,entre 7 y 8,0.0,High,September,185.192
239,Second Class,Consumer,Mixco,Guatemala,Furniture,Chairs,entre 7 y 8,0.0,High,December,110.56266666666667
240,Second Class,Consumer,Cairo,Egypt,Technology,Phones,entre 1 y 2,0.0,High,May,849.8000000000001
