,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
43,First Class,Home Office,New York City,Technology,Phones,entre 3 y 4,0.0,High,September,308.5285714285714
44,First Class,Home Office,New York City,Furniture,Bookcases,entre 3 y 4,0.2,Critical,October,256.896
45,Same Day,Consumer,New York City,Office Supplies,Binders,entre 5 y 6,0.2,Critical,May,120.71272727272726
46,Second Class,Consumer,New York City,Furniture,Chairs,entre 5 y 6,0.1,Medium,September,688.2349090909091
47,Standard Class,Corporate,Springfield,Technology,Phones,entre 7 y 8,0.0,Medium,March,466.6573333333333
48,First Class,Home Office,New York City,Technology,Machines,entre 11 y 12,0.0,High,October,148.2513043478261
49,Standard Class,Consumer,New York City,Technology,Machines,entre 5 y 6,0.0,Medium,May,727.2636363636364
50,Standard Class,Corporate,Chicago,Technology,Copiers,entre 5 y 6,0.2,Medium,August,509.08363636363634
51,Same Day,Corporate,San Francisco,Technology,Machines,entre 3 y 4,0.2,High,November,548.5645714285714
52,Standard Class,Home Office,New York City,Technology,Machines,entre 1 y 2,0.0,High,November,2661.32
53,First Class,Consumer,Philadelphia,Technology,Copiers,entre 5 y 6,0.4,Medium,May,327.2672727272727
54,Second Class,Consumer,Seattle,Furniture,Tables,entre 13 y 14,0.0,High,December,119.87925925925926
55,Same Day,Consumer,New York City,Furniture,Tables,entre 5 y 6,0.4,High,July,189.9327272727273
56,Standard Class,Consumer,Seattle,Furniture,Chairs,entre 5 y 6,0.2,Medium,November,437.2189090909091
57,Standard Class,Corporate,Los Angeles,Furniture,Tables,entre 9 y 10,0.2,Low,August,303.90063157894735
58,First Class,Consumer,Houston,Office Supplies,Binders,entre 5 y 6,0.8,High,November,277.30690909090913
59,Second Class,Corporate,Springfield,Office Supplies,Supplies,entre 5 y 6,0.0,Medium,January,757.1
60,Second Class,Home Office,Seattle,Furniture,Tables,entre 9 y 10,0.0,High,September,247.2442105263158
61,First Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 7 y 8,0.2,High,January,256.55466666666666
62,First Class,Consumer,Philadelphia,Furniture,Chairs,entre 5 y 6,0.3,Critical,December,196.23927272727272
63,Same Day,Consumer,San Francisco,Technology,Copiers,entre 5 y 6,0.2,High,September,509.08363636363634
64,First Class,Consumer,San Francisco,Furniture,Chairs,entre 7 y 8,0.2,Medium,June,161.728
65,First Class,Home Office,New York City,Furniture,Chairs,entre 11 y 12,0.1,Medium,November,227.94104347826087
66,First Class,Home Office,San Diego,Furniture,Tables,entre 11 y 12,0.2,Medium,November,145.4942608695652
67,Standard Class,Consumer,Philadelphia,Furniture,Bookcases,entre 7 y 8,0.5,Medium,September,411.12399999999997
68,Same Day,Consumer,New York City,Technology,Machines,entre 3 y 4,0.0,High,June,385.6714285714285
69,Standard Class,Corporate,Seattle,Furniture,Tables,entre 7 y 8,0.0,Medium,March,452.49066666666664
70,First Class,Corporate,Springfield,Furniture,Tables,entre 3 y 4,0.0,Critical,August,343.69714285714286
71,Standard Class,Corporate,New York City,Office Supplies,Appliances,entre 7 y 8,0.0,High,November,333.9653333333333
72,First Class,Home Office,Los Angeles,Furniture,Bookcases,entre 1 y 2,0.15,Medium,June,998.444
73,Second Class,Consumer,San Francisco,Furniture,Tables,entre 7 y 8,0.2,High,September,197.1029333333333
74,Same Day,Home Office,Chicago,Technology,Copiers,entre 1 y 2,0.2,Critical,March,639.9893333333333
75,Standard Class,Consumer,New York City,Technology,Accessories,entre 9 y 10,0.0,High,December,170.51684210526318
76,Same Day,Home Office,New York City,Technology,Copiers,entre 1 y 2,0.2,High,December,533.3226666666667
77,First Class,Corporate,New York City,Office Supplies,Binders,entre 7 y 8,0.2,High,March,145.05813333333333
78,First Class,Corporate,Chicago,Furniture,Bookcases,entre 9 y 10,0.3,Critical,September,86.86042105263158
79,Standard Class,Consumer,New York City,Furniture,Chairs,entre 7 y 8,0.1,Medium,December,341.7408
80,Second Class,Home Office,San Francisco,Furniture,Bookcases,entre 9 y 10,0.15,Critical,March,126.13999999999999
81,First Class,Consumer,Los Angeles,Technology,Accessories,entre 5 y 6,0.0,High,December,299.9909090909091
82,Standard Class,Consumer,San Francisco,Office Supplies,Binders,entre 7 y 8,0.2,Medium,January,269.63626666666664
83,Second Class,Home Office,Seattle,Furniture,Chairs,entre 5 y 6,0.2,High,December,364.34909090909093
84,First Class,Corporate,Springfield,Office Supplies,Appliances,entre 3 y 4,0.0,Critical,November,236.03142857142856
85,First Class,Consumer,New York City,Furniture,Chairs,entre 5 y 6,0.1,Critical,October,107.16545454545454
86,Standard Class,Corporate,New York City,Technology,Machines,entre 3 y 4,0.0,Medium,October,1485.702857142857
87,Same Day,Corporate,Philadelphia,Technology,Accessories,entre 13 y14,0.2,Critical,August,82.95466666666665
88,First Class,Consumer,Philadelphia,Office Supplies,Binders,entre 1 y 2,0.7,Critical,September,358.796
89,Second Class,Corporate,Houston,Technology,Machines,entre 7 y 8,0.4,Medium,September,335.9944
90,Standard Class,Corporate,New York City,Furniture,Chairs,entre 5 y 6,0.1,High,September,233.16545454545457
91,Standard Class,Corporate,Seattle,Office Supplies,Binders,entre 9 y 10,0.2,Medium,August,294.0555789473684
92,Standard Class,Home Office,New York City,Technology,Phones,entre 3 y 4,0.0,Medium,November,651.4171428571428
93,Second Class,Home Office,New York City,Office Supplies,Storage,entre 3 y 4,0.0,Critical,December,257.1657142857143
94,First Class,Corporate,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,Critical,October,145.78285714285715
95,Second Class,Consumer,Los Angeles,Technology,Copiers,entre 1 y 2,0.2,Critical,September,639.9893333333333
96,Standard Class,Consumer,Los Angeles,Technology,Machines,entre 5 y 6,0.2,Medium,December,463.37454545454545
97,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,Medium,June,933.2502857142857
98,Second Class,Consumer,Seattle,Furniture,Bookcases,entre 5 y 6,0.0,Critical,July,128.16363636363636
99,Second Class,Home Office,Chicago,Technology,Machines,entre 3 y 4,0.3,High,June,287.994
100,Standard Class,Consumer,San Francisco,Office Supplies,Storage,entre 5 y 6,0.0,High,January,241.06363636363633
101,First Class,Consumer,Philadelphia,Technology,Phones,entre 1 y 2,0.4,High,July,455.992
102,First Class,Corporate,Springfield,Technology,Phones,entre 5 y 6,0.0,Critical,August,105.44545454545455
103,Standard Class,Corporate,Houston,Technology,Copiers,entre 5 y 6,0.2,Medium,March,436.35636363636365
104,First Class,Corporate,San Francisco,Office Supplies,Storage,entre 9 y 10,0.0,High,December,58.90736842105263
105,Second Class,Consumer,San Francisco,Technology,Phones,entre 11 y 12,0.2,Medium,May,96.82643478260869
106,First Class,Home Office,San Diego,Furniture,Chairs,entre 3 y 4,0.2,Critical,September,167.30057142857143
107,First Class,Consumer,New York City,Office Supplies,Binders,entre 1 y 2,0.2,Medium,August,811.712
108,First Class,Corporate,Houston,Technology,Phones,entre 7 y 8,0.2,High,September,126.17920000000001
109,Standard Class,Consumer,New York City,Furniture,Chairs,entre 11 y 12,0.1,Medium,September,251.14147826086955
110,Standard Class,Consumer,New York City,Furniture,Chairs,entre 5 y 6,0.1,Medium,September,409.89272727272726
111,First Class,Consumer,San Francisco,Technology,Phones,entre 5 y 6,0.2,High,April,305.4472727272727
112,First Class,Consumer,Philadelphia,Technology,Accessories,entre 3 y 4,0.2,Critical,September,176.56457142857144
113,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 7 y 8,0.2,Medium,September,314.3317333333333
114,Standard Class,Consumer,Houston,Office Supplies,Binders,entre 3 y 4,0.8,High,April,311.08342857142856
115,First Class,Home Office,Philadelphia,Office Supplies,Binders,entre 5 y 6,0.7,Medium,September,207.54
116,Second Class,Consumer,Seattle,Furniture,Chairs,entre 1 y 2,0.2,Critical,July,374.3786666666667
117,Second Class,Corporate,New York City,Office Supplies,Storage,entre 7 y 8,0.0,Medium,March,144.72266666666667
118,Standard Class,Corporate,Dallas,Technology,Phones,entre 5 y 6,0.2,High,August,199.99272727272728
119,First Class,Consumer,Los Angeles,Technology,Accessories,entre 3 y 4,0.0,Medium,November,220.7057142857143
120,Standard Class,Consumer,New York City,Office Supplies,Appliances,entre 13 y 14,0.0,Medium,December,126.2637037037037
121,Second Class,Consumer,San Francisco,Technology,Phones,entre 3 y 4,0.2,Critical,November,201.13371428571426
122,Standard Class,Corporate,San Diego,Technology,Phones,entre 3 y 4,0.2,Medium,March,425.136
123,Same Day,Consumer,Seattle,Office Supplies,Binders,entre 5 y 6,0.2,High,September,267.6290909090909
124,Second Class,Consumer,Houston,Technology,Phones,entre 7 y 8,0.2,High,September,148.58666666666667
125,First Class,Home Office,New York City,Furniture,Bookcases,entre 3 y 4,0.2,Critical,October,178.95771428571427
126,First Class,Consumer,Chicago,Furniture,Chairs,entre 1 y 2,0.3,Critical,September,346.97600000000006
127,Standard Class,Consumer,Columbus,Technology,Phones,entre 9 y 10,0.4,High,July,198.94168421052632
128,Standard Class,Corporate,San Diego,Furniture,Chairs,entre 9 y 10,0.2,High,September,93.21347368421053
129,Second Class,Consumer,New York City,Technology,Phones,entre 5 y 6,0.0,High,November,178.1727272727273
130,Second Class,Corporate,San Francisco,Office Supplies,Storage,entre 3 y 4,0.0,High,December,207.38285714285715
131,Second Class,Consumer,New York City,Technology,Accessories,entre 9 y 10,0.0,High,September,112.73684210526316
132,Standard Class,Consumer,Houston,Furniture,Bookcases,entre 5 y 6,0.32,High,March,186.06036363636363
133,First Class,Consumer,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,August,178.1727272727273
134,Same Day,Corporate,New York City,Technology,Machines,entre 3 y 4,0.0,High,October,295.9428571428571
135,Second Class,Corporate,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,Medium,September,377.8148571428572
136,Second Class,Corporate,Seattle,Furniture,Chairs,entre 3 y 4,0.2,High,February,275.1817142857143
137,First Class,Corporate,New York City,Technology,Accessories,entre 9 y 10,0.0,High,September,94.72736842105263
138,First Class,Consumer,Seattle,Office Supplies,Binders,entre 5 y 6,0.2,High,November,221.8109090909091
139,First Class,Consumer,Philadelphia,Furniture,Chairs,entre 3 y 4,0.3,High,August,224.78400000000002
140,Standard Class,Consumer,Philadelphia,Furniture,Chairs,entre 5 y 6,0.3,High,June,223.35727272727271
141,First Class,Consumer,Houston,Furniture,Chairs,entre 5 y 6,0.3,High,May,163.53272727272727
142,Second Class,Consumer,Seattle,Furniture,Tables,entre 3 y 4,0.0,High,June,248.97142857142856
143,First Class,Consumer,New York City,Furniture,Bookcases,entre 1 y 2,0.2,High,September,534.3786666666666
144,First Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,June,176.56285714285715
145,Standard Class,Corporate,San Francisco,Technology,Phones,entre 3 y 4,0.2,High,July,327.3142857142857
146,Same Day,Corporate,San Francisco,Office Supplies,Binders,entre 3 y 4,0.2,Medium,September,266.05028571428574
147,Second Class,Consumer,New York City,Office Supplies,Storage,entre 9 y 10,0.0,High,September,146.89894736842106
148,First Class,Consumer,Los Angeles,Technology,Accessories,entre 5 y 6,0.0,Critical,December,86.35454545454546
149,Standard Class,Consumer,Chicago,Technology,Phones,entre 9 y 10,0.2,Medium,May,208.41347368421054
150,Standard Class,Corporate,Philadelphia,Technology,Phones,entre 7 y 8,0.4,Medium,September,257.5944
151,Standard Class,Consumer,New York City,Technology,Copiers,entre 7 y 8,0.2,Medium,May,373.3258666666667
152,Standard Class,Corporate,Seattle,Technology,Accessories,entre 9 y 10,0.0,High,August,157.49052631578948
153,Standard Class,Home Office,San Diego,Furniture,Chairs,entre 9 y 10,0.2,Medium,December,281.754947368421
154,Standard Class,Consumer,Columbus,Technology,Phones,entre 9 y 10,0.0,Medium,August,153.1042105263158
155,Standard Class,Consumer,Chicago,Technology,Machines,entre 3 y 4,0.3,Medium,September,389.40000000000003
156,First Class,Corporate,New York City,Technology,Accessories,entre 9 y 10,0.0,Medium,July,63.147368421052626
157,Standard Class,Home Office,Philadelphia,Furniture,Furnishings,entre 5 y 6,0.2,High,November,183.1330909090909
158,First Class,Consumer,New York City,Technology,Phones,entre 9 y 10,0.0,High,September,142.09578947368422
159,Second Class,Consumer,San Diego,Technology,Copiers,entre 5 y 6,0.2,High,December,218.17454545454547
160,Standard Class,Consumer,Los Angeles,Office Supplies,Storage,entre 3 y 4,0.0,Low,May,319.4057142857143
161,First Class,Consumer,New York City,Office Supplies,Appliances,entre 5 y 6,0.0,High,October,164.52727272727273
162,Second Class,Consumer,Philadelphia,Technology,Copiers,entre 3 y 4,0.4,Medium,November,342.85028571428575
163,First Class,Consumer,San Francisco,Furniture,Bookcases,entre 5 y 6,0.15,High,July,232.57545454545453
164,First Class,Corporate,Seattle,Furniture,Tables,entre 1 y 2,0.0,Medium,January,595.32
165,Second Class,Corporate,Philadelphia,Office Supplies,Storage,entre 5 y 6,0.2,Critical,March,100.46545454545453
166,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 5 y 6,0.2,High,May,141.04145454545454
167,Same Day,Corporate,Columbus,Technology,Phones,entre 5 y 6,0.4,High,November,190.90363636363637
168,First Class,Home Office,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,High,August,155.43085714285715
169,Same Day,Corporate,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,Critical,July,200.0434285714286
170,Standard Class,Consumer,San Francisco,Furniture,Tables,entre 5 y 6,0.2,Medium,December,364.2763636363636
171,Second Class,Consumer,Columbus,Furniture,Chairs,entre 5 y 6,0.3,Medium,December,165.40363636363637
172,Standard Class,Home Office,New York City,Furniture,Chairs,entre 13 y14,0.1,High,December,56.83066666666667
173,Standard Class,Consumer,Columbus,Furniture,Chairs,entre 7 y 8,0.0,Medium,September,202.16
174,Second Class,Corporate,Los Angeles,Technology,Phones,entre 5 y 6,0.2,High,February,113.44727272727273
175,First Class,Corporate,Houston,Furniture,Bookcases,entre 5 y 6,0.32,High,March,223.27243636363636
176,First Class,Consumer,Los Angeles,Furniture,Chairs,entre 5 y 6,0.2,Critical,November,109.80363636363636
177,Second Class,Home Office,Philadelphia,Furniture,Tables,entre 9 y 10,0.4,High,August,85.82021052631579
178,Standard Class,Consumer,Los Angeles,Technology,Machines,entre 3 y 4,0.2,Medium,January,548.5645714285714
179,Standard Class,Consumer,Philadelphia,Office Supplies,Binders,entre 3 y 4,0.7,Low,December,180.336
180,Standard Class,Corporate,Chicago,Office Supplies,Binders,entre 5 y 6,0.8,Medium,December,343.63454545454545
181,Second Class,Consumer,San Diego,Furniture,Chairs,entre 7 y 8,0.2,High,January,135.13173333333333
182,Second Class,Consumer,San Francisco,Furniture,Chairs,entre 1 y 2,0.2,Medium,April,747.712
183,Second Class,Consumer,Houston,Furniture,Tables,entre 5 y 6,0.3,High,April,135.29090909090908
184,Second Class,Consumer,New York City,Office Supplies,Storage,entre 5 y 6,0.0,Medium,August,289.2763636363636
185,Standard Class,Home Office,Los Angeles,Office Supplies,Storage,entre 7 y 8,0.0,Low,October,210.0186666666667
186,First Class,Consumer,New York City,Furniture,Chairs,entre 1 y 2,0.1,High,September,421.18800000000005
187,Standard Class,Consumer,Los Angeles,Furniture,Bookcases,entre 9 y 10,0.15,High,June,96.62352631578948
188,First Class,Corporate,Seattle,Office Supplies,Binders,entre 1 y 2,0.2,Medium,November,1355.7226666666668
189,First Class,Home Office,New York City,Furniture,Chairs,entre 5 y 6,0.1,High,September,107.16545454545454
190,Second Class,Consumer,Chicago,Technology,Phones,entre 7 y 8,0.2,High,July,71.67253333333333
191,Standard Class,Corporate,New York City,Technology,Phones,entre 11 y 12,0.0,Medium,November,172.16434782608695
192,Second Class,Home Office,New York City,Furniture,Chairs,entre 5 y 6,0.1,Critical,December,225.9818181818182
193,First Class,Corporate,New York City,Technology,Phones,entre 5 y 6,0.0,Critical,May,84.36363636363636
194,Second Class,Home Office,Houston,Technology,Phones,entre 5 y 6,0.2,High,September,257.4109090909091
195,Standard Class,Corporate,Springfield,Furniture,Tables,entre 9 y 10,0.0,Medium,May,239.52631578947367
196,Second Class,Corporate,Houston,Furniture,Chairs,entre 3 y 4,0.3,Critical,December,192.588
197,Standard Class,Consumer,Los Angeles,Furniture,Tables,entre 3 y 4,0.2,High,June,257.9177142857143
198,Standard Class,Consumer,New York City,Furniture,Bookcases,entre 5 y 6,0.2,Medium,September,364.34909090909093
199,First Class,Consumer,New York City,Furniture,Bookcases,entre 5 y 6,0.2,High,December,160.71272727272728
200,Standard Class,Corporate,Seattle,Office Supplies,Storage,entre 3 y 4,0.0,Low,December,319.4057142857143
201,Same Day,Consumer,New York City,Office Supplies,Appliances,entre 1 y 2,0.0,High,September,400.8666666666666
202,First Class,Consumer,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,December,140.71636363636364
203,Standard Class,Consumer,Seattle,Office Supplies,Storage,entre 5 y 6,0.0,Low,December,182.47636363636363
204,Second Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,High,October,180.56
205,First Class,Corporate,San Francisco,Office Supplies,Paper,entre 7 y 8,0.0,High,November,97.86
206,Second Class,Consumer,Dallas,Furniture,Bookcases,entre 9 y 10,0.32,Medium,January,142.35764210526315
207,Second Class,Consumer,Philadelphia,Furniture,Chairs,entre 3 y 4,0.3,Medium,January,253.506
208,First Class,Consumer,Los Angeles,Technology,Phones,entre 5 y 6,0.2,High,October,91.6290909090909
209,Standard Class,Consumer,Los Angeles,Technology,Accessories,entre 9 y 10,0.0,Medium,October,117.4642105263158
210,First Class,Consumer,Los Angeles,Furniture,Chairs,entre 1 y 2,0.2,Critical,November,254.29333333333332
211,Same Day,Consumer,New York City,Furniture,Tables,entre 9 y 10,0.4,High,September,48.87284210526315
212,Standard Class,Consumer,San Francisco,Office Supplies,Appliances,entre 5 y 6,0.0,High,April,263.20909090909095
213,Second Class,Consumer,New York City,Technology,Phones,entre 5 y 6,0.0,Medium,December,327.22727272727275
214,First Class,Corporate,San Francisco,Office Supplies,Appliances,entre 1 y 2,0.0,Medium,July,477.0933333333333
215,Standard Class,Corporate,Los Angeles,Furniture,Chairs,entre 3 y 4,0.2,Low,April,254.92114285714288
216,Standard Class,Consumer,Houston,Technology,Machines,entre 5 y 6,0.4,High,November,181.60909090909092
217,First Class,Home Office,Los Angeles,Technology,Phones,entre 3 y 4,0.2,High,December,179.19085714285714
218,Standard Class,Corporate,Los Angeles,Technology,Accessories,entre 5 y 6,0.0,Medium,July,299.9909090909091
219,First Class,Home Office,San Diego,Furniture,Tables,entre 3 y 4,0.2,Medium,November,192.672
220,Standard Class,Consumer,Philadelphia,Furniture,Tables,entre 7 y 8,0.4,Medium,November,167.0272
221,Second Class,Consumer,Houston,Technology,Phones,entre 5 y 6,0.2,High,September,130.9018181818182
222,Standard Class,Consumer,San Francisco,Office Supplies,Appliances,entre 13 y14,0.0,Medium,October,126.08296296296295
223,First Class,Corporate,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,High,March,386.2948571428571
224,First Class,Consumer,Dallas,Furniture,Tables,entre 3 y 4,0.3,Critical,June,87.804
225,Second Class,Corporate,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Critical,August,95.30742857142857
226,Same Day,Consumer,San Francisco,Office Supplies,Appliances,entre 5 y 6,0.0,High,September,73.92727272727274
227,Second Class,Consumer,Los Angeles,Office Supplies,Storage,entre 3 y 4,0.0,High,November,205.93142857142857
228,Second Class,Home Office,New York City,Office Supplies,Storage,entre 3 y 4,0.0,High,November,319.4057142857143
229,First Class,Consumer,San Francisco,Technology,Accessories,entre 3 y 4,0.0,Critical,May,97.13142857142857
230,First Class,Consumer,Seattle,Furniture,Chairs,entre 7 y 8,0.2,Medium,October,81.90293333333334
231,Standard Class,Corporate,New York City,Office Supplies,Appliances,entre 7 y 8,0.0,High,July,94.248
232,Same Day,Consumer,Seattle,Technology,Accessories,entre 9 y 10,0.0,Critical,November,47.15052631578948
233,Standard Class,Home Office,Springfield,Office Supplies,Storage,entre 1 y 2,0.0,Medium,August,558.92
234,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 5 y 6,0.0,Medium,September,180.21818181818182
235,Standard Class,Corporate,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Low,November,266.05028571428574
236,Standard Class,Corporate,Springfield,Furniture,Chairs,entre 3 y 4,0.3,High,August,170.988
237,Standard Class,Home Office,New York City,Technology,Accessories,entre 7 y 8,0.0,High,September,74.65733333333333
238,First Class,Home Office,Houston,Furniture,Bookcases,entre 3 y 4,0.32,Critical,March,109.5616
239,Standard Class,Corporate,New York City,Furniture,Tables,entre 7 y 8,0.4,Medium,March,210.6328
240,Standard Class,Consumer,Seattle,Furniture,Tables,entre 5 y 6,0.0,Medium,December,317.6818181818182
241,Standard Class,Home Office,Los Angeles,Office Supplies,Appliances,entre 5 y 6,0.0,Medium,October,298.3090909090909
242,Second Class,Consumer,San Francisco,Technology,Phones,entre 7 y 8,0.2,High,June,114.9792
243,First Class,Corporate,Los Angeles,Furniture,Bookcases,entre 3 y 4,0.15,Critical,November,87.4212857142857
244,First Class,Consumer,New York City,Technology,Phones,entre 5 y 6,0.0,High,September,114.53636363636365
245,First Class,Consumer,Philadelphia,Technology,Accessories,entre 1 y 2,0.2,High,July,351.94666666666666
246,Standard Class,Consumer,Chicago,Office Supplies,Storage,entre 5 y 6,0.2,High,November,117.4909090909091
247,Standard Class,Consumer,San Diego,Furniture,Chairs,entre 5 y 6,0.2,Medium,December,241.0472727272727
248,First Class,Consumer,Dallas,Furniture,Bookcases,entre 3 y 4,0.32,Critical,June,117.14262857142856
249,Standard Class,Consumer,Houston,Office Supplies,Storage,entre 3 y 4,0.2,Low,February,191.64342857142856
250,Standard Class,Home Office,Seattle,Furniture,Tables,entre 5 y 6,0.0,Medium,August,206.86363636363637
251,Same Day,Corporate,Columbus,Furniture,Chairs,entre 3 y 4,0.3,High,November,174.588
252,First Class,Consumer,Springfield,Furniture,Tables,entre 7 y 8,0.0,Medium,December,140.91466666666665
253,Second Class,Consumer,Seattle,Furniture,Chairs,entre 3 y 4,0.2,Critical,January,124.3337142857143
254,Standard Class,Corporate,San Diego,Furniture,Chairs,entre 1 y 2,0.2,High,September,534.3786666666666
255,Standard Class,Consumer,Houston,Technology,Phones,entre 3 y 4,0.2,Medium,June,277.68
256,Standard Class,Corporate,San Francisco,Technology,Machines,entre 5 y 6,0.2,High,December,139.62763636363636
257,Standard Class,Home Office,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,December,233.82171428571428
258,Second Class,Home Office,New York City,Office Supplies,Paper,entre 3 y 4,0.0,High,September,119.82857142857142
259,Standard Class,Corporate,New York City,Furniture,Chairs,entre 5 y 6,0.1,Medium,November,177.68945454545454
260,Standard Class,Consumer,Houston,Furniture,Tables,entre 7 y 8,0.3,Medium,November,115.08373333333334
261,Second Class,Consumer,Springfield,Office Supplies,Storage,entre 5 y 6,0.2,Critical,September,53.709090909090904
262,Second Class,Consumer,San Francisco,Furniture,Chairs,entre 3 y 4,0.2,High,July,205.06285714285715
263,Standard Class,Consumer,San Francisco,Technology,Phones,entre 7 y 8,0.2,High,August,107.51146666666666
